Item Name	qlvl	Item Name	qlvl	Item Name	qlvl
Ancient Shield	56			Radament's Sphere	58
Bramble Mitts	57	Laying of Hands	39		
Falcata	56				
Feral Axe	57				
Flying Axe	56			Gimmershred	78
Grand Crown	55	Hwanin's Splendor	28	Crown of Thieves	57
Grim Scythe	55			Grim's Burning Dead	52
Pellet Bow	57				
Polished Wand	55				
Royal Shield	55				
Sharktooth Armor	55			Toothrow	56
Spider Bow	55				
Totemic Mask	55			Jalal's Mane	50
Tyrant Club	57			Demon Limb	71
Treasure Class 54 (TC 54)
Chu-Ko-Nu	54			Demon Machine	57
Coronet	52				
Executioner Sword	54			Swordguard	55
Giant Conch	54				
Gothic Bow	52			Goldstrike Arch	54
Hierophant Trophy	54			Homunculus	50
Hyperion Javelin	54				
Martel de Fer	53			The Gavel of Pain	53
Matriarchal Bow	53			Bloodraven's Charge	79
Scissors Quhab	54				
Slayer Guard	54			Arreat's Face	50
Templar Coat	52			Guardian Angel	53
Tomahawk	54			Razor's Edge	75
Truncheon	52			Nord's Tenderizer	76
War Belt	54	Immortal King's Detail	37	Thundergod's Vigor	55
War Boots	54	Immortal King's Pillar	37	Gore Rider	55
War Gauntlets	54	Immortal King's Forge	37	Hellmouth	55
Treasure Class 51 (TC 51)
Ancient Axe	51			The Minotaur	53
Ancient Sword	49			The Atlantean	50
Battle Belt	49	Wilhelm's Pride	41	Snowclash	49
Battle Boots	49	Aldur's Advance	29	War Traveler	50
Battle Gauntlets	49	M'avina's Icy Clutch	21	Lava Gout	50
Bec-de-Corbin	51			Husoldal Evo	52
Cantor Trophy	49	Trang-Oul's Wing	32		
Ceremonial Pike	51			Lycander's Flank	50
Grave Wand	49			Blackhand Key	49
Greater Talons	50			Bartuc's Cut-Throat	50
Grim Helm	50	Natalya's Totem	22	Vampire Gaze	49
Gilded Shield	51			Herald of Zakarum	50
Harpoon	51				
Pavise	50			Gerke's Sanctuary	52
Rune Bow	49			Magewrath	51
Russet Armor	49			Skullder's Ire	50
Sacred Feathers	50				
Savage Helmet	49				
Swirling Crystal	50	Tal Rasha's Lidless Eye	26	The Oculus	50
Winged Helm	51	Guillaume's Face	41	Valkyrie Wing	52
Zweihander	49			Todesfaelle Flamme	54
Treasure Class 48 (TC 48)
Ballista	47			Buriza-Do Kyanon	59
Battle Hammer	48			Earthshaker	51
Ceremonial Bow	47			Lycander's Aim	50
Cuirass	47	Haemosu's Adamant	55	Duriel's Shell	49
Death Mask	48	Tal Rasha's Horadric Crest	26	Blackhorn's Face	49
Gothic Axe	46			Boneslayer Blade	50
Gothic Sword	48			Cloudcrack	53
Grim Shield	48			Lidless Wall	49
Hunter's Guise	46	Aldur's Stony Gaze	29		
Lance	47			Spire of Honor	47
Large Siege Bow	46			Cliffkiller	49
Naga	48			Guardian Naga	56
Protector Shield	46				
Rune Staff	47			Skull Collector	49
Sparkling Ball	46				
Stiletto	46			Stormspike	49
Treasure Class 45 (TC 45)
Basinet	45	Sazabi's Mental Sheath	34	Darksight Helm	46
Ceremonial Spear	43				
Crowbill	43			Pompeii's Wrath	53
Cutlass	43			Coldsteel Eye	39
Divine Scepter	45			Hand of Blessed Light	50
Dragon Shield	45			Tiamat's Rebuke	46
Greater Claws	45				
Heavy Bracers	43	Trang-Oul's Claws	32	Ghoulhide	44
Knout	43			Baezil's Vortex	53
Mesh Armor	45			Shaftstop	46
Mesh Belt	43	Tal Rasha's Fire-Spun Cloth	26	Gloom's Trap	45
Mesh Boots	43	Natalya's Soul	22	Silkweave	44
Rage Mask	44				
Rune Sword	44			Plague Bearer	49
Sexton Trophy	45				
Short Siege Bow	43			Witchwild String	47
Tigulated Mail	43	Hwanin's Refuge	28	Crow Caw	45
Tomb Wand	43			Arm of King Leoric	44
Tusk Sword	45			The Vile Husk	52
War Club	45			Bloodtree Stump	56
Yari	44			Hone Sundan	45
Treasure Class 42 (TC 42)
Akaran Rondache	40				
Ancient Armor	40	Milabrega's Robe	23	Silks of the Victor	38
Barbed Shield	42			Lance Guard	43
Battle Scythe	40			Athena's Wrath	50
Battle Sword	40			Headstriker	47
Casque	42			Stealskull	43
Cinquedeas	42			Blackbog's Sharp	46
Cloudy Sphere	41				
Dacian Falx	42			Bing Sz Wang	51
Gothic Staff	42			Warpspear	47
Griffon Headress	40				
Hand Scythe	41				
Holy Water Sprinkler	40			The Fetid Sprinkler	46
Hurlbat	41				
Linked Mail	42			Spirit Forge	43
Scutum	42			Stormchaser	43
Siege Crossbow	40			Pus Spitter	44
Simbilan	40				
Tabar	42			Stormrider	49
Trellised Armor	40			Iron Pelt	41
War Fork	41			Soulfeast Tine	43
Treasure Class 39 (TC 39)
Ashwood Bow	39				
Bearded Axe	38			Spellsteel	47
Bill	37	Hwanin's Justice	28	Blackleach Blade	50
Cedar Staff	38			Chromatic Ire	43
Crystalline Globe	37				
Demonhide Armor	37			Skin of the Flayed One	39
Dimensional Blade	37			Ginther's Rift	45
Double Bow	39			Endlesshail	44
Espadon	37			Crainte Vomir	50
Fetish Trophy	39				
Full Plate Mail	37	Tancred's Spine	27	Goldskin	38
Great Pilum	37				
Jagged Star	39	Aldur's Rythm	29	Moonfall	50
Lion Helm	38				
Petrified Wand	38			Carin Shard	43
Round Shield	37	Whitstan's Guard	41	Moser's Blessed Circle	39
Sallet	37			Rockstopper	39
Sharkskin Belt	39	M'avina's Tenet	21	Razortail	39
Sharkskin Boots	39			Waterwalk	40
Sharkskin Gloves	39	Magnus' Skin	41	Gravepalm	39
Tulwar	37			Blade of Ali Baba	43
Twin Axe	39			Islestrike	51
War Dart	39				
Treasure Class 36 (TC 36)
Akaran Targe	35				
Alpha Helm	35				
Arbalest	34			Langer Briser	40
Cedar Bow	35			Kuko Shakaku	41
Ceremonial Javelin	35			Titan's Revenge	50
Cleaver	34			Butcher's Pupil	47
Defender	34			Viscerataunt	36
Demonhide Boots	36	Rite of Passage	39	Infernostride	37
Demonhide Sash	36			String of Ears	37
Fascia	36				
Flanged Mace	35			Sureshrill Frost	47
Francisca	34			The Scalper	65
Fuscina	36			Kelpie Snare	41
Ghost Armor	34			The Spirit Shroud	36
Light Plate	35	Arcanna's Flesh	20	Heavenly Garb	39
Military Axe	34			Warlord's Trust	43
Partizan	35			Pierre Tombale Couant	51
Quarterstaff	35			Ribcracker	39
Rondel	36			Heart Carver	44
Serpentskin Armor	36			Skin of the Vipermagi	37
Shamshir	35			Hexfire	41
War Hat	34	Cow King's Horns	20	Peasant Crown	36
War Scythe	34			The Grim Reaper	39
Treasure Class 33 (TC 33)
Barbed Club	32			Fleshrender	46
Battle Dart	31			Deathbit	52
Burnt Wand	31			Suicide Branch	41
Demonhide Gloves	33			Venom Grip	37
Glowing Orb	32				
Gothic Plate	32	Sigon's Shelter	9	Rattlecage	39
Great Maul	32			Steeldriver	39
Great Sword	33			The Patriarch	39
Hatchet	31			Coldkill	44
Jawbone Visor	33				
Lochaber Axe	33			The Meat Scraper	49
Long War Bow	31			Blastbark	38
Mummified Trophy	33				
Poignard	31			Spineripper	40
Rancid Gas Potion	32				
Razor Bow	33			Riphook	39
Repeating Crossbow	33			Doomslinger	38
Rune Scepter	31			Zakarum's Hand	45
War Spear	33			The Impaler	39
Wrist Spike	32				
Treasure Class 30 (TC 30)
Crown	29	Iratha's Coil	21	Undead Crown	39
Crown	29	Milabrega's Diadem	23		
Cudgel	30			Dark Clan Crusher	42
Edge Bow	30			Skystrike	36
Field Plate	28			Rockfleece	38
Gladius	30			Bloodletter	38
Gothic Shield	30	Isenhart's Parry	11	The Ward	35
Halberd	29			Woestave	38
Jo Staff	30			Razorswitch	36
Oil Potion	28				
Quhab	28				
Throwing Spear	29				
War Javelin	30				
Treasure Class 27 (TC 27)
Flamberge	27			Ripsaw	35
Gauntlets	27	Sigon's Gage	9	Frostburn	39
Giant Axe	27			Humongous	39
Greaves	27	Sigon's Sabot	9	Tearhaunch	39
Grim Wand	26	Infernal Torch	7	Ume's Lament	38
Maiden Pike	27				
Plated Belt	27	Sigon's Wrap	9	Bladebuckle	39
Reflex Bow	27				
Short War Bow	27	Arctic Horn	3	Hellclap	36
War Axe	25			Rakescar	36
War Hammer	25			Ironstone	36
War Sword	27	Death's Touch	8	Culwen's Point	39
Treasure Class 24 (TC 24)
Avenger Guard	24	Immortal King's Will	37		
Bastard Sword	24			Blacktongue	35
Blade	23			Spectral Shard	34
Bone Helm	22	Tancred's Skull	27	Wormskull	28
Circlet	24	Naj's Circlet	43		
Crown Shield	24				
Demon Head	24				
Dragon Stone	24				
Glaive	23				
Great Axe	23			Brainhew	34
Great Helm	23	Sigon's Visor	9	Howltusk	34
Heavy Crossbow	24			Hellcast	36
Long Battle Bow	23	Vidala's Barb	19	Wizendraw	35
Maiden Javelin	23				
Pike	24			The Tannr Gorerod	36
Plate Mail	24			Boneflesh	35
Scissors Katar	24				
Spirit Mask	24				
Tower Shield	22	Sigon's Guard	9	Bverrit Keep	26
War Staff	24	Arcanna's Deathwand	20	The Iron Jang Bong	38
Treasure Class 21 (TC 21)
Aerin Shield	20				
Assault Helmet	20				
Blade Talons	21				
Bone Shield	19			Wall of the Eyeless	27
Choking Gas Potion	20				
Falcon Mask	20				
Flail	19			The General's Tan Do Li Ga	28
Gargoyle Head	20				
Giant Sword	21			Kinemil's Awl	31
Heavy Belt	20	Iratha's Cord	21	Goldwrap	36
Heavy Belt	20	Infernal Sign	7		
Light Gauntlets	20	Iratha's Cuff	21	Magefist	31
Light Gauntlets	20	Arctic Mitts	3		
Light Plated Boots	20	Vidala's Fetlock	19	Goblin Toe	30
Long Sword	20	Cleglaw's Tooth	6	Hellplague	30
Mask	19	Cathan's Visage	15	The Face of Horror	27
Maul	21			Bonesnap	32
Military Pick	19	Tancred's Crowbill	27	Skull Splitter	28
Poleaxe	21			The Battlebranch	34
Spetum	20			Lance of Yaggai	30
Splint Mail	20	Berserker's Hauberk	5	Iceblink	30
War Scepter	21	Milabrega's Rod	23	Stormeye	31
Treasure Class 18 (TC 18)
Antlers	16				
Balanced Axe	16				
Battle Axe	17			The Chieftain	26
Battle Staff	17	Cathan's Rule	15	The Salamander	28
Bone Wand	18	Sander's Superstition	20	Gravenspine	27
Brandistock	16			Bloodthief	23
Breast Plate	18	Isenhart's Case	11	Venom Ward	27
Clasped Orb	17				
Claws	18				
Claymore	17			Soulflay	26
Exploding Potion	16				
Heraldic Shield	16				
Horned Helm	16				
Kris	17			The Jade Tan Do	26
Maiden Spear	18				
Short Battle Bow	18			Stormstrike	34
Stag Bow	18				
Unraveller Head	16				
Treasure Class 15 (TC 15)
Balanced Knife	13				
Broad Sword	15	Isenhart's Lightbrand	11	Griswold's Edge	23
Cestus	15				
Chain Mail	15	Cathan's Mesh	15	Sparking Mail	23
Crossbow	15			Ichorsting	24
Double Axe	13	Berserker's Hatchet	5	Bladebone	20
Full Helm	15	Isenhart's Horns	11	Duskdeep	23
Grand Scepter	15	Civerb's Cudgel	13	Rusthandle	23
Kite Shield	15	Milabrega's Orb	23	Steelclash	23
Morning Star	13			Bloodrise	20
Scale Mail	13			Hawkmail	20
Scythe	15			Soul Harvest	26
Short Spear	15				
Treasure Class 12 (TC 12)
Belt	12	Hsarus' Iron Stay	4	Nightsmoke	27
Belt	12	Hwanin's Blessing	28		
Broad Axe	12			Goreshovel	19
Chain Boots	12	Hsarus' Iron Heel	4	Treads of Cthon	20
Chain Gloves	12	Cleglaw's Pincers	6	Chance Guards	20
Composite Bow	12			Rogue's Bow	27
Crystal Sword	11				
Falchion	11			Gleamscythe	18
Gnarled Staff	12			Spire of Lazarus	24
Hatchet Hands	12				
Helm	11	Berserker's Headgear	5	Coif of Glory	19
Large Shield	11	Civerb's Ward	13	Stormguild	18
Pilum	10				
Ring Mail	11	Angelic Mantle	17	Darkglow	19
Smoked Sphere	12				
Spiked Shield	11			Swordback Hold	20
Two-Handed Sword	10			Shadowfang	16
Voulge	11			Steelgoad	19
Yew Wand	12			Maelstrom	19
Treasure Class 9 (TC 9)
Axe	7			Deathspade	12
Dirk	9			The Diggler	15
Heavy Boots	7	Cow King's Hooves	20	Gorefoot	12
Heavy Boots	7	Sander's Riprap	20		
Heavy Gloves	7	Sander's Taboo	20	Bloodfist	12
Light Belt	7	Arctic Binding	3	Snakecord	16
Long Bow	8			Raven Claw	20
Long Staff	8			Serpent Lord	12
Mace 	8			Crushflange 	12
Sabre 	8	Angelic Sickle	17	Skewer of Krintiz	14
Studded Leather	8	Cow King's Hide	20	Twitchthroe 	22
Trident 	9			Razortine 	16
Treasure Class 6 (TC 6)
Bardiche	5			Dimoak's Hew	11
Fulminating Potion	4				
Hard Leather Armor	5			The Centurion	19
Hunter's Bow	5			Witherstring	18
Jawbone Cap	4				
Large Axe	6			Axe of Fechmar	11
Light Crossbow	6			Leadcrow	12
Preserved Head	4				
Scimitar	5			Blood Crescent	10
Skull Cap	5	Arcanna's Head	20	Tarnhelm	20
Small Shield	5	Cleglaw's Claw	6	Umbral Disk	12
Spear	5			The Dragon Chang	11
Spiked Club	4			Stoutnail	7
Targe	4				
Wolf Head	4				
Treasure Class 3 (TC 3)
Boots	3	Tancred's Hobnails	27	Hotspur	7
Buckler	1	Hsarus' Iron Fist	4	Pelta Lunata	3
Cap	1	Infernal Cranium	7	Biggin's Bonnet	4
Cap	1	Sander's Paragon	20		
Club	1			Felloak	4
Dagger	3			Gull	6
Eagle Orb	1				
Hand Axe	3			The Gnasher	7
Javelin	1				
Katar	1				
Leather Armor	3	Vidala's Ambush	19	Blinkbat's Form	16
Leather Gloves	3	Death's Hand	8	The Hand of Broc	7
Quilted Armor	1	Arctic Furs	3	Greyform	10
Sash	3	Death's Guard	8	Lenymo	10
Scepter	3			Knell Striker	7
Short Bow	1			Pluckeye	10
Short Staff	1			Bane Ash	7
Short Sword	1			Rixot's Keen	3
Throwing Knife	2				
Wand	2			Torch of Iro	7
Treasure Class 0 (TC 0)
Amulet	1	Angelic Wings	17	Atma's Scarab	60
Amulet	1	Arcanna's Sign	20	Crescent Moon	58
Amulet	1	Cathan's Sigil	15	Highlord's Wrath	73
Amulet	1	Civerb's Icon	13	Mara's Kaleidoscope	80
Amulet	1	Iratha's Collar	21	Metalgrid	85
Amulet	1	Tal Rasha's Adjudication	26	Nokozan Relic	14
Amulet	1	Tancred's Weird	27	Saracen's Chance	55
Amulet	1	Telling of Beads	39	Seraph's Hymn	73
Amulet	1	Vidala's Snare	19	The Cat's Eye	58
Amulet	1			The Eye of Etlich	20
Amulet	1			The Mahim-Oak Curio	34
Amulet	1			The Rising Sun	73
Ring	1	Angelic Halo	17	Bul-Kathos' Wedding Band	66
Ring	1	Cathan's Seal	15	Carrion Wind	68
Ring	1			Dwarf Star	53
Ring	1			Manald Heal	20
Ring	1			Nagelring	10
Ring	1			Nature's Peace	77
Ring	1			Raven Frost	53
Ring	1			Stone of Jordan	39
Ring	1			Wisp Projector	84
